;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
BY;224;Coburg;36;1 290,1;200,3;212,2 ;103,0;201,9;164;16,2  ;3,2  ;7,3  ;16,2  ;33,6  ;23,4  ;9,4  ;11,8  ;40,8  ;38,4  ;+   0,0;12,9  ;26,7 ;40,0 ;23,7 ;9,7;1,7;194,4;644,2 ;81,7  ;7,0  ;427,8;400,8 ;0,6    ;60,4    ;12,2    ;26,8    ;9,6  ;10,5;
BY;225;Hof;45;1 556,9;244,7;251,8 ;120,0;235,0;162;15,1  ;3,1  ;7,1  ;15,1  ;33,6  ;26,1  ;9,2  ;13,7  ;36,5  ;34,6  ;-   2,7;10,7  ;19,0 ;26,8 ;39,4 ;14,8;1,4;156,6;649,3 ;82,5  ;6,4  ;467,2;356,1 ;0,5    ;51,7    ;20,2    ;27,5    ;11,4  ;12,5;
BY;226;Kulmbach;44;1 577,1;166,6;180,6 ;88,3;173,5;114;16,3  ;3,3  ;7,8  ;16,1  ;33,7  ;22,7  ;9,5  ;11,2  ;34,6  ;28,6  ;+   4,3;22,0  ;26,8 ;45,3 ;20,5 ;7,5;1,3;140,4;694,7 ;79,3  ;9,6  ;409,6;321,9 ;0,5    ;56,0    ;16,9    ;26,6    ;8,7  ;9,4;
BY;227;Ansbach;86;3 042,9;281,0;314,1 ;153,6;294,7;103;18,5  ;3,5  ;8,0  ;16,1  ;32,6  ;21,3  ;11,5  ;10,6  ;37,7  ;32,5  ;+   6,1;29,7  ;22,9 ;44,4 ;26,4 ;6,3;0,9;107,2;710,4 ;74,4  ;10,1  ;391,4;299,0 ;1,0    ;52,4    ;13,7    ;32,8    ;8,3  ;8,2;
BY;228;Erlangen;26;641,6;205,9;226,3 ;111,5;204,5;353;16,9  ;3,2  ;7,8  ;18,1  ;35,4  ;18,7  ;11,0  ;8,0  ;60,1  ;60,1  ;+   3,0;7,8  ;38,3 ;42,5 ;15,3 ;4,0;0,5;195,8;615,4 ;84,9  ;10,5  ;439,3;430,4 ;0,3    ;49,2    ;11,7    ;38,8    ;9,1  ;8,7;
BY;229;Fürth;53;1 638,5;277,0;316,0 ;154,0;286,6;193;16,7  ;3,1  ;7,2  ;16,7  ;35,2  ;21,0  ;10,6  ;10,8  ;64,6  ;57,1  ;+   7,3;14,7  ;21,4 ;39,9 ;31,7 ;7,0;0,7;76,5;641,4 ;80,8  ;14,5  ;435,5;263,6 ;1,2    ;42,9    ;23,2    ;32,8    ;10,0  ;10,1;
BY;230;Nürnberg-Nord;2;86,0;258,7;271,5 ;129,7;216,8;3 158;13,2  ;2,6  ;7,6  ;17,9  ;35,0  ;23,7  ;9,4  ;12,5  ;57,3  ;53,9  ;+   0,3;0,7  ;44,3 ;45,6 ;8,0 ;2,1;0,7;146,9;550,6 ;87,2  ;7,7  ;501,8;507,1 ;0,4    ;32,1    ;25,3    ;42,3    ;12,3  ;13,5;
BY;231;Nürnberg-Süd;siehe Wkr 230;140,6;245,8;259,4 ;124,4;224,0;1 845;15,6  ;3,1  ;7,3  ;16,9  ;35,2  ;21,8  ;9,8  ;10,8  ;66,2  ;56,1  ;+   9,1;2,6  ;37,4 ;36,4 ;24,2 ;2,0;1,1;99,8;643,8 ;85,7  ;5,3  ;455,8;siehe Wkr 230;siehe Wkr 230;siehe Wkr 230;siehe Wkr 230;siehe Wkr 230;siehe Wkr 230;siehe Wkr 230;
BY;232;Roth;43;1 696,1;253,1;287,1 ;141,2;268,5;169;17,3  ;3,2  ;7,2  ;16,5  ;35,5  ;20,4  ;10,9  ;10,2  ;39,9  ;34,8  ;+   5,8;16,4  ;34,8 ;43,8 ;18,6 ;2,8;0,8;89,1;678,3 ;80,4  ;8,8  ;399,1;246,7 ;0,9    ;49,5    ;18,1    ;31,4    ;7,6  ;7,4;
BY;233;Aschaffenburg;33;762,1;213,3;237,9 ;116,9;216,3;312;17,4  ;3,3  ;7,4  ;17,0  ;34,5  ;20,3  ;10,6  ;9,5  ;50,0  ;46,9  ;+   4,1;4,8  ;55,4 ;27,3 ;10,2 ;7,1;0,8;115,4;644,2 ;84,9  ;6,9  ;409,7;344,2 ;0,7    ;49,4    ;20,0    ;29,9    ;8,8  ;8,9;
BY;234;Bad Kissingen;89;3 115,2;256,5;283,5 ;139,8;275,3;91;18,4  ;3,6  ;7,9  ;15,9  ;32,6  ;21,5  ;10,8  ;11,0  ;32,5  ;28,6  ;+   3,6;26,8  ;36,3 ;40,1 ;15,0 ;8,6;0,7;89,0;688,7 ;77,7  ;7,4  ;390,2;283,0 ;1,2    ;48,8    ;14,1    ;35,9    ;10,4  ;10,8;
BY;235;Main-Spessart;72;2 038,3;236,3;260,9 ;129,4;239,7;128;18,3  ;3,6  ;8,0  ;16,4  ;33,3  ;20,4  ;11,2  ;9,4  ;29,4  ;26,8  ;+   4,4;12,7  ;42,2 ;36,0 ;12,9 ;8,9;1,0;131,4;653,4 ;81,5  ;8,6  ;389,6;284,5 ;1,1    ;61,7    ;13,2    ;24,1    ;7,8  ;8,1;
BY;236;Schweinfurt;61;1 560,1;235,0;258,2 ;126,6;241,6;165;17,8  ;3,4  ;7,6  ;16,2  ;33,3  ;21,7  ;10,5  ;10,7  ;43,9  ;39,1  ;+   4,6;21,3  ;38,8 ;34,4 ;19,4 ;7,3;0,6;117,8;652,1 ;79,8  ;7,2  ;406,8;333,5 ;1,3    ;48,3    ;17,9    ;32,4    ;10,4  ;10,5;
BY;237;Würzburg;53;1 055,9;261,6;282,7 ;135,8;262,8;268;15,5  ;3,0  ;8,2  ;18,9  ;33,5  ;20,9  ;10,1  ;9,8  ;67,1  ;63,5  ;+   4,0;10,7  ;31,2 ;34,3 ;25,4 ;9,0;0,5;63,4;613,3 ;82,4  ;5,6  ;450,8;361,0 ;0,8    ;27,6    ;24,1    ;47,5    ;8,0  ;8,5;
BY;238;Augsburg-Stadt;2;165,5;262,1;284,1 ;135,8;236,2;1 716;14,1  ;2,8  ;7,9  ;18,0  ;33,0  ;24,2  ;10,3  ;12,4  ;51,6  ;54,3  ;-   4,8;0,5  ;35,7 ;32,9 ;18,6 ;12,9;0,6;155,9;526,5 ;87,5  ;9,1  ;501,7;447,4 ;0,2    ;37,3    ;19,5    ;43,0    ;11,1  ;12,0;
BY;239;Augsburg-Land;64;1 639,1;260,7;308,0 ;152,1;287,0;188;18,7  ;3,4  ;7,6  ;17,0  ;34,9  ;18,3  ;11,6  ;8,6  ;45,6  ;37,3  ;+  11,3;15,1  ;23,1 ;41,6 ;28,1 ;7,2;0,7;75,6;664,1 ;80,1  ;14,4  ;399,5;220,4 ;1,2    ;51,0    ;19,4    ;28,4    ;7,9  ;8,0;
BY;240;Donau-Ries;76;2 261,3;211,0;234,9 ;116,7;221,3;104;18,9  ;3,6  ;8,4  ;16,5  ;32,5  ;20,2  ;11,6  ;10,3  ;33,6  ;27,6  ;+   7,2;30,1  ;21,5 ;47,3 ;24,1 ;7,1;0,9;124,5;709,5 ;75,9  ;10,6  ;385,5;298,4 ;1,5    ;55,7    ;16,9    ;25,9    ;6,7  ;6,9;
BY;241;Neu-Ulm;70;1 684,3;276,5;310,6 ;154,1;277,6;184;18,0  ;3,5  ;8,2  ;16,9  ;33,9  ;19,5  ;11,5  ;9,6  ;46,2  ;44,3  ;+   3,8;13,0  ;21,5 ;43,9 ;28,9 ;5,7;0,9;120,5;665,7 ;80,6  ;9,5  ;404,9;299,9 ;1,0    ;52,4    ;18,7    ;27,9    ;8,1  ;7,9;
BY;242;Oberallgäu;48;1 914,1;257,6;282,7 ;135,7;255,9;148;16,9  ;3,1  ;7,7  ;16,3  ;33,5  ;22,4  ;10,7  ;11,2  ;49,3  ;46,5  ;+   2,2;17,5  ;16,1 ;49,1 ;32,7 ;2,1;0,7;87,6;668,6 ;79,7  ;8,1  ;476,7;323,0 ;0,9    ;42,2    ;18,3    ;38,6    ;8,3  ;8,4;
BY;243;Ostallgäu;80;2 329,3;278,7;309,0 ;150,0;285,4;133;18,1  ;3,4  ;7,8  ;16,2  ;32,6  ;21,8  ;11,5  ;10,8  ;42,7  ;39,9  ;+   3,5;24,5  ;13,8 ;43,8 ;40,3 ;2,0;0,9;93,0;694,5 ;76,5  ;9,7  ;422,8;323,8 ;1,3    ;49,0    ;16,1    ;33,7    ;8,5  ;8,8;
BY;909;Land insgesamt;2 056;70 550,9;10 902,6;12 043,9 ;5 876,7;10 891,5;171;16,5  ;3,2  ;7,8  ;17,2  ;34,4  ;20,9  ;10,7  ;10,2  ;48,9  ;45,3  ;+   4,2;15,8  ;25,8 ;42,4 ;26,3 ;5,6;0,7;103,2;656,2 ;80,8  ;9,0  ;433,6;340,5 ;0,8    ;42,4    ;18,7    ;38,1    ;8,6  ;9,0;
SL;244;Saarbrücken I;2;194,4;201,3;200,7 ;95,9;176,1;1 033;14,2  ;2,8  ;6,9  ;16,7  ;35,6  ;23,8  ;9,2  ;12,5  ;38,5  ;35,4  ;-   0,3;0,7  ;40,3 ;27,3 ;18,1 ;14,3;0,5;119,6;596,8 ;88,0  ;5,5  ;472,4;504,5 ;0,2    ;28,4    ;20,2    ;51,2    ;17,5  ;18,5;
SL;245;Saarbrücken II;12;285,5;208,1;209,7 ;100,8;192,7;735;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;siehe Wkr 244;245,9 ;0,2    ;56,4    ;17,1    ;26,2    ;13,5  ;13,6;
SL;246;Saarlouis;14;821,9;217,8;227,7 ;110,4;211,2;277;16,0  ;3,3  ;7,3  ;15,6  ;35,3  ;22,5  ;9,3  ;10,7  ;31,7  ;29,5  ;+   0,7;3,5  ;37,0 ;26,0 ;17,4 ;19,6;0,5;107,2;626,7 ;86,3  ;5,8  ;397,3;307,1 ;0,6    ;50,3    ;18,8    ;30,3    ;13,3  ;13,3;
SL;247;Sankt Wendel;15;761,7;210,0;221,0 ;109,3;206,9;290;15,9  ;3,2  ;6,9  ;15,4  ;35,1  ;23,5  ;9,2  ;11,5  ;30,0  ;27,3  ;+   0,3;2,9  ;33,9 ;24,3 ;16,4 ;25,3;0,4;61,0;635,3 ;86,6  ;7,2  ;422,6;177,4 ;0,5    ;42,3    ;17,3    ;39,9    ;10,4  ;10,4;
SL;248;Homburg;9;506,7;218,4;225,1 ;109,3;208,4;444;15,3  ;3,1  ;6,9  ;15,7  ;35,3  ;23,7  ;9,1  ;11,2  ;34,0  ;34,5  ;-   2,6;2,7  ;33,6 ;25,4 ;22,1 ;18,9;0,6;135,4;639,4 ;87,1  ;6,1  ;431,8;336,5 ;0,4    ;49,3    ;16,7    ;33,5    ;12,1  ;12,2;
SL;910;Land insgesamt;52;2 570,2;1 055,7;1 084,2 ;525,6;995,3;422;15,3  ;3,1  ;7,0  ;15,9  ;35,4  ;23,3  ;9,2  ;11,6  ;33,9  ;31,7  ;-   0,2;2,3  ;35,9 ;25,5 ;18,0 ;20,6;0,5;104,9;620,7 ;87,0  ;6,0  ;432,9;311,5 ;0,4    ;43,5    ;18,3    ;37,8    ;13,3  ;13,5;
BE;249;Berlin-Mitte – Prenzlauer Berg;1;21,6;222,7;220,2 ;110,0;202,2;10 188;14,7  ;3,2  ;7,6  ;18,6  ;36,8  ;19,1  ;8,6  ;11,0  ;99,4  ;100,7  ;-   3,7;0,0  ;66,2 ;13,5 ;13,5 ;6,8;0,2;14,0;404,8 ;86,7  ;4,6  ;586,4;336,1 ;0,6    ;26,1    ;18,6    ;54,8    ;15,7  ;18,0;
BE;250;Berlin-Tiergarten – Wedding – Nord-Charlottenburg;siehe Wkr 249;36,3;235,9;292,6 ;144,5;216,3;8 055;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,3;57,7;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;520,1;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;251;Berlin-Reinickendorf;siehe Wkr 249;89,3;238,0;252,9 ;120,1;229,2;2 831;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,5;69,9;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;503,7;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;Spalte 24 und 25 ohne Nord-Charlottenburg.
BE;252;Berlin-Spandau;siehe Wkr 249;91,9;200,6;224,9 ;108,2;194,5;2 447;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,4;126,5;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;482,1;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;253;Berlin-Zehlendorf – Steglitz;siehe Wkr 249;102,6;275,4;292,0 ;133,9;265,7;2 847;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,2;24,6;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;513,8;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;254;Berlin-Charlottenburg – Wilmersdorf;siehe Wkr 249;57,2;313,0;288,8 ;134,2;246,1;5 051;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,2;22,1;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;584,6;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;Spalte 24 und 25 einschl. Nord-Charlottenburg.
BE;255;Berlin-Kreuzberg – Schöneberg;siehe Wkr 249;22,7;283,4;306,3 ;151,2;223,4;13 512;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,4;43,3;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;506,6;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;256;Berlin-Tempelhof;siehe Wkr 249;40,8;178,5;191,6 ;89,2;173,3;4 692;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,8;102,1;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;512,9;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;257;Berlin-Neukölln;siehe Wkr 249;45,0;288,0;312,9 ;152,0;252,4;6 960;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,4;46,7;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;508,5;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;258;Berlin-Friedrichshain – Lichtenberg;siehe Wkr 249;36,1;276,2;272,2 ;137,1;247,8;7 535;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,2;17,4;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;545,4;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;259;Berlin-Köpenick – Treptow;siehe Wkr 249;167,6;211,0;219,6 ;106,4;210,9;1 310;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,4;48,7;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;510,1;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;260;Berlin-Hellersdorf – Marzahn;siehe Wkr 249;61,8;287,2;291,9 ;143,7;282,7;4 723;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,1;9,5;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;403,7;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;261;Berlin-Hohenschönhausen – Pankow – Weißensee;siehe Wkr 249;118,0;277,2;292,8 ;142,8;279,0;2 481;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;0,2;24,2;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;470,6;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;siehe Wkr 249;
BE;911;Land insgesamt;1;890,9;3 287,1;3 458,8 ;1 673,1;3 023,7;3 883;14,7  ;3,2  ;7,6  ;18,6  ;36,8  ;19,1  ;8,6  ;11,0  ;99,4  ;100,7  ;-   3,7;0,0  ;66,2 ;13,5 ;13,5 ;6,8;0,3;43,6;404,8 ;86,7 ;4,6  ;510,0;336,1 ;0,6    ;26,1    ;18,6    ;54,8    ;15,7  ;18,0;
BE;995;West-Berlin;X;485,7;2 012,8;2 162,1 ;1 033,1;1 801,0;4 451;.   ;.   ;.   ;.   ;.   ;.   ;9,8  ;12,4  ;99,5  ;100,7  ;-   3,8;0,1  ;.  ;.  ;.  ;. ;0,4;56,7;439,9 ;.  ;3,8  ;517,3;360,0 ;0,6    ;27,2    ;19,0    ;53,2    ;16,4  ;16,7;
BE;996;Ost-Berlin;X;405,1;1 274,3;1 296,7 ;639,9;1 222,7;3 201;.   ;.   ;.   ;.   ;.   ;.   ;6,7  ;8,8  ;99,3  ;100,7  ;-   3,4;0,0  ;.  ;.  ;.  ;. ;0,2;21,7;346,3 ;.  ;5,9  ;497,7;296,1 ;0,5    ;23,8    ;17,8    ;57,9    ;14,4  ;20,0;
MV;262;Wismar – Gadebusch – Grevesmühlen – Doberan – Bützow;167;2 886,9;229,1;228,1 ;112,5;223,7;79;17,4  ;4,9  ;8,2  ;15,2  ;35,7  ;18,4  ;6,3  ;10,1  ;78,7  ;52,4  ;+  22,5;3,3  ;22,8 ;15,3 ;9,1 ;52,3;0,3;26,9;533,6 ;85,7  ;16,6  ;411,4;278,4 ;5,2    ;37,6    ;14,7    ;42,4    ;18,4  ;22,3;
MV;263;Schwerin – Hagenow ;113;2 283,7;225,5;219,6 ;107,9;215,6;96;16,7  ;4,7  ;8,4  ;15,6  ;35,7  ;18,9  ;6,4  ;10,2  ;47,9  ;52,1  ;-   8,1;3,0  ;29,7 ;16,1 ;14,0 ;38,7;0,4;35,7;539,5 ;86,7  ;7,2  ;438,8;398,1 ;2,8    ;31,4    ;18,1    ;47,7    ;13,9  ;16,5;
MV;264;Güstrow – Sternberg – Lübz – Parchim – Ludwigslust;160;3 880,3;219,4;210,1 ;103,2;207,9;54;18,0  ;4,9  ;8,1  ;15,2  ;34,7  ;19,1  ;6,5  ;10,3  ;31,2  ;25,7  ;+   1,7;4,3  ;22,9 ;16,8 ;13,3 ;47,1;0,3;16,9;537,5 ;85,2  ;7,2  ;408,4;310,6 ;6,5    ;35,2    ;15,0    ;43,3    ;18,0  ;22,3;
MV;265;Rostock;1;180,6;248,1;221,0 ;108,7;214,8;1 224;15,0  ;4,3  ;8,4  ;16,5  ;37,2  ;18,6  ;5,8  ;9,6  ;33,7  ;59,4  ;-  29,4;0,1  ;.  ;.  ;.  ;. ;0,2;38,7;462,4 ;90,4  ;2,2  ;457,4;412,4 ;1,8    ;23,4    ;23,3    ;51,5    ;16,5  ;20,1;
MV;266;Rostock-Land – Ribnitz-Damgarten – Teterow – Malchin;139;2 958,0;171,6;174,3 ;86,3;171,9;59;17,2  ;4,9  ;8,1  ;14,9  ;35,4  ;19,6  ;6,1  ;10,7  ;39,3  ;26,6  ;+   8,0;3,8  ;30,8 ;16,4 ;7,5 ;45,4;0,2;17,3;525,3 ;86,5  ;12,5  ;414,8;293,0 ;6,0    ;35,8    ;20,9    ;37,3    ;20,8  ;24,6;
MV;267;Stralsund – Rügen – Grimmen;100;2 238,1;215,0;200,9 ;98,9;198,2;90;16,2  ;4,6  ;7,7  ;14,8  ;36,6  ;20,0  ;5,9  ;10,1  ;28,6  ;42,0  ;-  17,7;1,5  ;24,4 ;20,3 ;8,3 ;44,2;0,2;30,7;486,6 ;88,8  ;6,2  ;444,0;310,8 ;4,1    ;28,6    ;16,4    ;51,0    ;20,1  ;22,9;
MV;268;Greifswald – Wolgast – Demmin;113;1 962,9;191,8;181,3 ;89,3;177,3;92;17,1  ;4,8  ;8,5  ;15,0  ;35,0  ;19,7  ;5,9  ;11,0  ;32,3  ;32,3  ;-   5,1;3,5  ;27,9 ;17,5 ;10,6 ;42,8;0,2;26,0;506,9 ;86,9  ;6,5  ;422,7;323,1 ;5,1    ;31,0    ;15,8    ;48,2    ;20,6  ;23,4;
MV;269;Neubrandenburg – Altentreptow – Waren – Röbel;130;2 795,3;207,7;196,9 ;97,2;194,6;70;17,0  ;5,0  ;9,1  ;15,1  ;36,8  ;17,0  ;6,1  ;8,7  ;31,7  ;39,0  ;-   9,8;2,1  ;17,8 ;19,4 ;10,3 ;48,8;0,4;37,1;536,9 ;86,7  ;6,6  ;427,6;375,8 ;5,0    ;29,9    ;17,4    ;47,7    ;17,6  ;21,7;
MV;270;Neustrelitz – Strasburg – Pasewalk – Ueckermünde – Anklam;156;3 984,4;198,3;185,1 ;91,2;183,0;46;17,2  ;5,0  ;8,3  ;14,8  ;35,0  ;19,7  ;5,7  ;11,3  ;34,3  ;25,8  ;+   2,8;3,7  ;33,1 ;16,2 ;10,0 ;40,7;0,3;17,7;528,2 ;86,6  ;6,3  ;415,4;295,8 ;5,8    ;27,9    ;17,7    ;48,5    ;22,4  ;25,5;
MV;913;Land insgesamt;1 079;23 170,2;1 906,7;1 817,2 ;895,3;1 786,9;78;16,9  ;4,8  ;8,3  ;15,3  ;35,7  ;19,0  ;6,1  ;10,3  ;41,6  ;40,7  ;-   3,2;2,8  ;26,8 ;16,9 ;11,0 ;45,3;0,3;27,8;517,7 ;86,9  ;7,9  ;426,7;334,7 ;4,5    ;30,8    ;17,9    ;46,8    ;18,5  ;21,9;
BB;271;Neuruppin – Kyritz – Wittstock – Pritzwalk – Perleberg;235;4 626,7;228;215,9 ;105,7;212,1;47;16,7  ;4,5  ;7,8  ;15,0  ;35,4  ;20,7  ;5,8  ;11,6  ;102,0  ;102,6  ;-   6,3;6,0  ;32,3 ;20,0 ;11,7 ;36,0;0,4;22,7;565,8 ;85,0  ;4,1  ;430,0;302,8 ;8,1    ;32,9    ;17,2    ;41,8    ;19,7  ;23,1;
BB;272;Prenzlau – Angermünde – Schwedt – Templin – Gransee;213;3 994,5;213;199,5 ;98,5;196,1;50;17,0  ;4,7  ;8,2  ;15,0  ;36,1  ;19,0  ;6,3  ;10,6  ;21,4  ;25,2  ;-   8,1;4,2  ;28,4 ;18,7 ;7,3 ;45,5;0,3;35,3;532,6 ;87,2  ;4,0  ;434,1;278,5 ;7,4    ;35,3    ;14,5    ;42,8    ;22,9  ;27,0;
BB;273;Oranienburg – Nauen;90;1 745,9;198;209,5 ;103,4;206,0;120;16,2  ;4,2  ;7,3  ;15,5  ;36,9  ;20,0  ;6,3  ;10,9  ;50,5  ;27,7  ;+  18,2;3,1  ;32,9 ;18,1 ;13,9 ;35,0;0,4;43,8;553,7 ;86,8  ;9,3  ;429,5;303,5 ;3,3    ;41,4    ;20,2    ;35,1    ;15,0  ;17,0;
BB;274;Eberswalde – Bernau – Bad Freienwalde;113;2 060,2;186;188,1 ;93,0;184,2;91;16,0  ;4,5  ;7,9  ;14,9  ;37,6  ;19,1  ;5,6  ;10,8  ;54,7  ;30,7  ;+  18,8;1,8  ;30,0 ;20,0 ;13,2 ;36,8;0,3;31,0;575,4 ;87,4  ;11,2  ;435,0;298,1 ;3,9    ;32,7    ;19,0    ;44,4    ;17,7  ;21,9;
BB;275;Brandenburg – Rathenow – Belzig;158;2 780,7;220;211,4 ;103,6;206,9;76;14,8  ;4,0  ;7,5  ;15,1  ;37,3  ;21,3  ;5,7  ;12,3  ;25,5  ;36,7  ;-  17,8;2,0  ;33,5 ;20,6 ;15,8 ;30,0;0,4;57,0;489,2 ;89,6  ;1,9  ;485,8;310,8 ;4,0    ;37,6    ;15,1    ;43,2    ;18,9  ;21,3;
